Date,Open,High,Low,Close,Volume,Change
2021-06-18,22200,23000,17900,18050,5793916,
2021-06-21,17800,18500,17050,17100,1018874,-0.052631578947368474
2021-06-22,17350,17450,16500,16800,696580,-0.01754385964912286
2021-06-23,16850,17550,16600,16850,534476,0.0029761904761904656
2021-06-24,17150,17300,16550,16600,323728,-0.014836795252225476
2021-06-25,16700,17650,16600,17050,711072,0.027108433734939652
2021-06-28,17250,17450,16750,16900,452960,-0.008797653958944274
2021-06-29,16950,17150,16400,16450,278399,-0.026627218934911268
2021-06-30,16550,16550,16100,16250,185096,-0.012158054711246202
2021-07-01,16200,16600,16100,16300,162507,0.003076923076922977
2021-07-02,16300,16350,15850,16000,239627,-0.018404907975460127
2021-07-05,16000,16000,15750,15950,115506,-0.0031250000000000444
2021-07-06,16000,16450,15950,16100,173553,0.00940438871473348
2021-07-07,16150,16250,16000,16000,87493,-0.006211180124223614
2021-07-08,16050,16200,15750,15750,144522,-0.015625
2021-07-09,15800,15800,15150,15350,183482,-0.025396825396825418
2021-07-12,15400,15550,15150,15350,64030,0.0
2021-07-13,15400,15600,15300,15500,77855,0.009771986970684043
2021-07-14,15500,16100,15350,15950,125775,0.029032258064516148
2021-07-15,16000,16050,15700,15750,113601,-0.01253918495297801
2021-07-16,15700,16350,15550,16050,188304,0.01904761904761898
2021-07-19,16000,16200,15700,15800,131181,-0.015576323987538943
2021-07-20,15600,17150,15450,16750,375252,0.06012658227848111
2021-07-21,17300,21750,16950,21750,6946918,0.29850746268656714
2021-07-22,23250,26950,23100,24900,11861819,0.14482758620689662
2021-07-23,25500,28700,24600,28500,4637299,0.14457831325301207
2021-07-26,30150,32750,28100,29000,5864139,0.01754385964912286
2021-07-27,29000,29350,24350,25500,1611466,-0.12068965517241381
2021-07-28,25400,26550,23450,24500,1351022,-0.039215686274509776
2021-07-29,25200,26500,23750,25950,1739342,0.0591836734693878
2021-07-30,25950,25950,24200,24800,534024,-0.044315992292870865
2021-08-02,25300,25600,23500,25550,591535,0.030241935483870996
2021-08-03,25300,27200,24450,26600,1150653,0.041095890410958846
2021-08-04,26200,27750,25500,27050,1273800,0.016917293233082775
2021-08-05,27350,28100,26600,28100,718306,0.038817005545286554
2021-08-06,27900,28900,27500,28650,715803,0.019572953736654908
2021-08-09,28650,29800,28200,29100,568229,0.015706806282722585
2021-08-10,28650,29200,27150,29100,955120,0.0
2021-08-11,30450,30900,27950,29500,1286842,0.013745704467353903
2021-08-12,29500,30750,27900,28500,714933,-0.03389830508474578
2021-08-13,28000,28000,25800,26000,659237,-0.08771929824561409
2021-08-17,25800,27850,23550,26450,1036103,0.017307692307692246
2021-08-18,25500,26050,24550,25150,522022,-0.04914933837429114
2021-08-19,24650,24950,22600,22600,580419,-0.10139165009940354
2021-08-20,23050,23700,22000,22650,324688,0.0022123893805310324
2021-08-23,23000,24050,22500,22650,366571,0.0
2021-08-24,23350,25650,21350,22300,1167783,-0.015452538631346546
2021-08-25,22300,23300,21650,21800,430762,-0.022421524663677084
2021-08-26,22100,23050,22000,22250,478686,0.020642201834862428
2021-08-27,22150,22900,21600,22050,364492,-0.008988764044943864
2021-08-30,22300,22300,20300,20450,448462,-0.07256235827664403
2021-08-31,20750,21250,20150,20750,468979,0.014669926650366705
2021-09-01,21200,21350,20650,21000,405542,0.012048192771084265
2021-09-02,19700,19900,19050,19100,565342,-0.09047619047619049
2021-09-03,19250,19550,18800,19200,252924,0.005235602094240788
2021-09-06,19350,19450,18800,19200,158544,0.0
2021-09-07,19250,20250,19050,20150,295268,0.04947916666666674
2021-09-08,20150,20450,19400,19400,198069,-0.037220843672456594
2021-09-09,19050,19500,18250,18650,222756,-0.03865979381443296
2021-09-10,18500,19500,18450,18750,211060,0.00536193029490617
2021-09-13,18700,18700,17650,17850,174315,-0.04800000000000004
2021-09-14,18100,18550,17900,18400,113372,0.03081232492997188
2021-09-15,18400,23900,18200,23900,2767684,0.298913043478261
2021-09-16,25850,26550,24000,24050,5686335,0.006276150627614996
2021-09-17,23700,24350,22550,23800,1001209,-0.01039501039501034
2021-09-23,23250,23350,21500,21500,618170,-0.09663865546218486
2021-09-24,21500,22350,20750,21050,501596,-0.020930232558139528
2021-09-27,21100,22400,21000,22400,674408,0.06413301662707838
2021-09-28,22100,22350,21400,21750,397695,-0.029017857142857095
2021-09-29,20600,21200,19950,20850,416323,-0.04137931034482756
2021-09-30,21600,23700,20950,21000,1787503,0.007194244604316502
2021-10-01,20900,24150,20700,22800,3004636,0.08571428571428563
